"delivery_date","hour_ending","qse_name","settlement_point_source","settlement_point_sink","mw","price","offer_id","crr_id","p_posted_date"
"2024-10-02","1","QAEN","DECKER_GT","LZ_AEN","20.0","0.02","119866918_1","119866918","2024-12-01"
"2024-10-02","1","QAEN","DECKER_GT","LZ_AEN","20.0","0.02","119866919_1","119866919","2024-12-01"
"2024-10-02","1","QAEN","EXGNWTL_1","LZ_AEN","1.0","-0.85","129484087_1","129484087","2024-12-01"
"2024-10-02","1","QAEN","EXGNWTL_1","LZ_AEN","1.0","-0.85","143598233_1","143598233","2024-12-01"
"2024-10-02","1","QAEN","FPPYD_FPP_G1","LZ_AEN","301.5","-0.01","119866920_1","119866920","2024-12-01"
"2024-10-02","1","QAEN","FPPYD_FPP_G2","LZ_AEN","0.0","0.0","119866921_1","119866921","2024-12-01"
"2024-10-02","1","QAEN","HB_SOUTH","LZ_AEN","1.0","-0.55","136189392_1","136189392","2024-12-01"
"2024-10-02","1","QAEN","HB_SOUTH","LZ_AEN","1.0","-0.55","143598245_1","143598245","2024-12-01"
"2024-10-02","1","QAEN","HB_SOUTH","LZ_AEN","1.0","-0.55","143598246_1","143598246","2024-12-01"
"2024-10-02","1","QAEN","HB_SOUTH","LZ_AEN","1.0","-0.55","151723294_1","151723294","2024-12-01"
"2024-10-02","1","QAEN","HB_SOUTH","LZ_AEN","1.0","-0.55","159964030_1","159964030","2024-12-01"
"2024-10-02","1","QAEN","HB_SOUTH","LZ_AEN","1.0","-0.55","159964031_1","159964031","2024-12-01"
"2024-10-02","1","QAEN","HRFDWIND_ALL","LZ_AEN","1.0","10.09","136189413_1","136189413","2024-12-01"
"2024-10-02","1","QAEN","HRFDWIND_ALL","LZ_AEN","1.0","10.09","136189414_1","136189414","2024-12-01"
"2024-10-02","1","QAEN","HRFDWIND_ALL","LZ_AEN","1.0","10.09","136189415_1","136189415","2024-12-01"
"2024-10-02","1","QAEN","HRFDWIND_ALL","LZ_AEN","1.0","10.09","143598266_1","143598266","2024-12-01"
"2024-10-02","1","QAEN","HRFDWIND_ALL","LZ_AEN","1.0","10.09","177843195_1","177843195","2024-12-01"
"2024-10-02","1","QAEN","HRFDWIND_ALL","LZ_AEN","2.0","10.09","177843194_1","177843194","2024-12-01"
"2024-10-02","1","QAEN","HRFDWIND_ALL","LZ_AEN","3.0","10.09","136189412_1","136189412","2024-12-01"
