"delivery_date","hour_ending","settlement_point","qse_name","energy_only_bid_mw1","energy_only_bid_price1","energy_only_bid_mw2","energy_only_bid_price2","energy_only_bid_mw3","energy_only_bid_price3","energy_only_bid_mw4","energy_only_bid_price4","energy_only_bid_mw5","energy_only_bid_price5","energy_only_bid_mw6","energy_only_bid_price6","energy_only_bid_mw7","energy_only_bid_price7","energy_only_bid_mw8","energy_only_bid_price8","energy_only_bid_mw9","energy_only_bid_price9","energy_only_bid_mw10","energy_only_bid_price10","energy_only_bid_id","multi_hour_block_indicator","block/curve_indicator","p_posted_date"
"2024-10-02","1","AEEC","QAUROR","0.9","5000.0","0.9","-249.0","1.0","-250.0",,,,,,,,,,,,,,,"55dd3af0-c73","N","C","2024-12-01"
"2024-10-02","1","AEEC","QGRIEQ","28.4","-13.73",,,,,,,,,,,,,,,,,,,"6yamiy","N","C","2024-12-01"
"2024-10-02","1","AEEC","QPEBSE","1.5","-18.2",,,,,,,,,,,,,,,,,,,"NTL06","N","V","2024-12-01"
"2024-10-02","1","AEEC","QPEBSE","1.5","-70.3",,,,,,,,,,,,,,,,,,,"NTL01","N","V","2024-12-01"
"2024-10-02","1","AEEC","QPEBSE","1.5","1.03",,,,,,,,,,,,,,,,,,,"NTL12","N","V","2024-12-01"
"2024-10-02","1","AEEC","QPEBSE","3.0","-55.6",,,,,,,,,,,,,,,,,,,"NTL07","N","V","2024-12-01"
"2024-10-02","1","AEEC","QPEBSE","3.0","-83.7",,,,,,,,,,,,,,,,,,,"NTL03","N","V","2024-12-01"
"2024-10-02","1","AEEC","QPEBSE","4.5","-28.8",,,,,,,,,,,,,,,,,,,"NTL08","N","V","2024-12-01"
"2024-10-02","1","AEEC","QQDTT","1.0","19.16","1.0","17.25","1.0","15.33",,,,,,,,,,,,,,,"0001-YG-P_OP","N","C","2024-12-01"
"2024-10-02","1","AEEC","QTWIGR","1.0","100.0",,,,,,,,,,,,,,,,,,,"534fbbba398f","N","V","2024-12-01"
"2024-10-02","1","ALP_BESS_RN","QTHUNH","1.0","33.0",,,,,,,,,,,,,,,,,,,"222819107","N","V","2024-12-01"
"2024-10-02","1","AMADEUS_ALL","QSTAN4","1.0","250.0",,,,,,,,,,,,,,,,,,,"KpJ2ngtIph8y","N","C","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QCOMIT","1.0","3000.0",,,,,,,,,,,,,,,,,,,"222855057","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRAN3","3.5","35.28",,,,,,,,,,,,,,,,,,,"bq6NGnVq","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRAN3","3.5","38.31",,,,,,,,,,,,,,,,,,,"KDnYqY7t4","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRAN3","3.5","41.98",,,,,,,,,,,,,,,,,,,"UaoYNRIrE","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRAN3","3.9","31.29",,,,,,,,,,,,,,,,,,,"OoLI2g4M7Z","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRAN3","4.2","29.69",,,,,,,,,,,,,,,,,,,"6fRmem2ruB","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRAN3","4.2","33.05",,,,,,,,,,,,,,,,,,,"hymt2dbzQ7","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRAN3","4.6","28.1",,,,,,,,,,,,,,,,,,,"kwJzUTScKm","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRAN3","4.9","25.41",,,,,,,,,,,,,,,,,,,"kBZBsu7ha","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRAN3","4.9","26.79",,,,,,,,,,,,,,,,,,,"BY1PMaUEek","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRAN3","5.2","24.26",,,,,,,,,,,,,,,,,,,"3pwSt5xu3s","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QGRIEQ","5.2","51.93",,,,,,,,,,,,,,,,,,,"ly45b9","N","C","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QHEBER","2.4","74.5",,,,,,,,,,,,,,,,,,,"kpjounjy1","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QPEBSE","12.0","1.08",,,,,,,,,,,,,,,,,,,"NTL12","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QPEBSE","2.0","10.87",,,,,,,,,,,,,,,,,,,"NTL05","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QPEBSE","2.0","21.7",,,,,,,,,,,,,,,,,,,"NTL07","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QPEBSE","2.0","23.6",,,,,,,,,,,,,,,,,,,"NTL01","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QPEBSE","2.0","25.7",,,,,,,,,,,,,,,,,,,"NTL06","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QPEBSE","4.0","17.6",,,,,,,,,,,,,,,,,,,"NTL04","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QPEBSE","4.0","17.7",,,,,,,,,,,,,,,,,,,"NTL02","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QPEBSE","4.0","22.7",,,,,,,,,,,,,,,,,,,"NTL03","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QZANDY","1.0","-108.88",,,,,,,,,,,,,,,,,,,"ABS2","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QZANDY","1.0","-138.88",,,,,,,,,,,,,,,,,,,"ABS3","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QZANDY","1.0","-88.88",,,,,,,,,,,,,,,,,,,"ABS1","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QZANDY","10.0","-219.88",,,,,,,,,,,,,,,,,,,"ABS8","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QZANDY","2.0","-168.88",,,,,,,,,,,,,,,,,,,"ABS4","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QZANDY","3.0","-198.88",,,,,,,,,,,,,,,,,,,"ABS5","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QZANDY","45.0","-231.88",,,,,,,,,,,,,,,,,,,"ABS9","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QZANDY","5.0","-208.88",,,,,,,,,,,,,,,,,,,"ABS6","N","V","2024-12-01"
"2024-10-02","1","AMISTAD_ALL","QZANDY","65.0","-241.88",,,,,,,,,,,,,,,,,,,"ABS10","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QCOMIT","1.0","3000.0",,,,,,,,,,,,,,,,,,,"222855058","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QDARBY","2.0","-20.0",,,,,,,,,,,,,,,,,,,"U0001","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRAN3","3.5","23.09",,,,,,,,,,,,,,,,,,,"mKQFWKu6Lt","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRAN3","3.5","24.18",,,,,,,,,,,,,,,,,,,"icfBh2AKSt","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRAN3","3.5","25.36",,,,,,,,,,,,,,,,,,,"tZmIghDaK9","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRAN3","3.5","26.37",,,,,,,,,,,,,,,,,,,"SfCTxBxGr","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRAN3","3.5","27.71",,,,,,,,,,,,,,,,,,,"ET9MWpZeom","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRAN3","3.5","28.84",,,,,,,,,,,,,,,,,,,"3DqYfEJ9g","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRAN3","3.5","30.62",,,,,,,,,,,,,,,,,,,"VBj2Nts7f8","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRAN3","3.5","32.34",,,,,,,,,,,,,,,,,,,"anhfmiZkmz","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRAN3","3.5","34.36",,,,,,,,,,,,,,,,,,,"CLm3ZsWMyE","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRAN3","3.5","37.07",,,,,,,,,,,,,,,,,,,"JMKW7uCvnu","N","V","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QGRIEQ","10.5","51.93",,,,,,,,,,,,,,,,,,,"apv3sa","N","C","2024-12-01"
"2024-10-02","1","ANACACHO_ANA","QHEBER","4.0","74.5",,,,,,,,,,,,,,,,,,,"kpjounjy1","N","V","2024-12-01"
"2024-10-02","1","APPALOSA_ALL","QCWPE2","3.2","140.37",,,,,,,,,,,,,,,,,,,"w8GdLO1K","N","C","2024-12-01"
"2024-10-02","1","APPALOSA_ALL","QSTAN4","1.0","250.0",,,,,,,,,,,,,,,,,,,"8GlN6diGY7bI","N","C","2024-12-01"
"2024-10-02","1","ARAGORN_RN","QAUROR","5.5","5000.0",,,,,,,,,,,,,,,,,,,"55dd3af0-c73","N","C","2024-12-01"
"2024-10-02","1","ARAGORN_RN","QMEREL","5.0","85.0",,,,,,,,,,,,,,,,,,,"222891066","N","V","2024-12-01"
"2024-10-02","1","ARAGORN_RN","QNABLA","1.4","112.18",,,,,,,,,,,,,,,,,,,"t311965","N","V","2024-12-01"
"2024-10-02","1","ARAGORN_RN","QNN8S6","1.0","112.0",,,,,,,,,,,,,,,,,,,"222868943","N","V","2024-12-01"
"2024-10-02","1","ASTRA_RN","QQDTT","1.0","19.19","1.0","17.27","1.0","15.36",,,,,,,,,,,,,,,"0020-YG-P_OP","N","C","2024-12-01"
"2024-10-02","1","AZ_ALL","QAUROR","8.4","5000.0",,,,,,,,,,,,,,,,,,,"55dd3af0-c73","N","C","2024-12-01"
